# recipeId minecraftName

11 yellow_wool
12 yellow_terracotta
13 yellow_stained_glass_pane
14 yellow_stained_glass
15 yellow_dye_from_sunflower
16 yellow_dye_from_dandelion
17 yellow_concrete_powder
18 yellow_carpet
19 yellow_bed_from_white_bed
20 yellow_bed
21 yellow_banner
22 writable_book
23 wooden_sword
24 wooden_shovel
25 wooden_pressure_plate
26 wooden_pickaxe
27 wooden_hoe
28 oak_door
29 oak_button
30 wooden_axe
31 white_terracotta
32 white_stained_glass_pane
33 white_stained_glass
34 white_concrete_powder
35 white_carpet
36 white_bed
37 white_banner
38 wheat
39 tripwire_hook
40 trapped_chest
41 oak_trapdoor
42 torch
43 tnt_minecart
44 tnt
45 sugar
46 white_wool_from_string
47 stone_bricks
48 stone_sword
49 stone_stairs
50 stone_slab
51 stone_shovel
52 stone_pressure_plate
53 stone_pickaxe
54 stone_hoe
55 stone_button
56 stone_brick_stairs
57 stone_brick_slab
58 stone_axe
59 sticky_piston
60 stick
61 spruce_stairs
62 spruce_slab
63 spruce_planks
64 spruce_fence_gate
65 spruce_fence
66 spruce_door
67 spruce_boat
68 spectral_arrow
69 glistering_melon_slice
70 snow
71 snow_block
72 smooth_sandstone
73 smooth_red_sandstone
74 slime_ball
75 slime_block
76 oak_sign
77 shield
78 shears
79 sea_lantern
80 sandstone_stairs
81 sandstone_slab
82 sandstone
83 repeater
84 redstone_torch
85 redstone_lamp
86 redstone_block
87 redstone
88 red_wool
89 red_terracotta
90 red_stained_glass_pane
91 red_stained_glass
92 red_sandstone_stairs
93 red_sandstone_slab
94 red_sandstone
95 red_nether_bricks
96 red_dye_from_tulip
97 red_dye_from_rose_bush
98 red_dye_from_poppy
99 red_dye_from_beetroot
100 red_concrete_powder
101 red_carpet
102 red_bed_from_white_bed
103 red_bed
104 red_banner
105 rail
106 rabbit_stew_from_red_mushroom
107 rabbit_stew_from_brown_mushroom
108 quartz_stairs
109 quartz_slab
110 quartz_block
111 purpur_stairs
112 purpur_slab
113 purpur_pillar
114 purpur_block
115 purple_wool
116 purple_terracotta
117 purple_stained_glass_pane
118 purple_stained_glass
119 purpur_shulker_box
120 purple_dye
121 purple_concrete_powder
122 purple_carpet
123 purple_bed_from_white_bed
124 purple_bed
125 purple_banner
126 pumpkin_seeds
127 pumpkin_pie
128 prismarine_bricks
129 prismarine
130 polished_granite
131 polished_diorite
132 polished_andesite
133 piston
134 pink_wool
135 pink_terracotta
136 pink_stained_glass_pane
137 pink_stained_glass
138 pink_dye_from_red_white_dye
139 pink_tulip
140 peony
141 pink_concrete_powder
142 pink_carpet
143 pink_bed_from_white_bed
144 pink_bed
145 pink_banner
146 quartz_pillar
147 paper
148 painting
149 orange_wool
150 orange_terracotta
151 orange_stained_glass_pane
152 orange_stained_glass
153 orange_dye_from_red_yellow
154 orange_dye_from_orange_tulip
155 orange_concrete_powder
156 orange_carpet
157 orange_bed_from_white_bed
158 orange_bed
159 orange_banner
160 observer
161 oak_stairs
162 oak_slab
163 oak_planks
164 note_block
165 nether_wart_block
166 nether_brick_stairs
167 nether_brick_slab
168 nether_brick_fence
169 nether_bricks
170 mushroom_stew
171 mossy_stone_bricks
172 mossy_cobblestone_wall
173 mossy_cobblestone
174 minecart
175 melon_seeds
176 melon
177 map
178 magma_cream
179 magma_block
180 magenta_wool
181 magenta_terracotta
182 magenta_stained_glass_pane
183 magenta_stained_glass
184 magenta_dye_from_purple_and_pink
185 magenta_dye_from_lilac
186 magenta_dye_from_blue_red_pink
187 magenta_dye_from_blue_red_white_dye
188 magenta_dye_from_allium
189 magenta_concrete_powder
190 magenta_carpet
191 magenta_bed_from_white_bed
192 magenta_bed
193 magenta_banner
194 jack_o_lantern
195 lime_wool
196 lime_terracotta
197 lime_stained_glass_pane
198 lime_stained_glass
199 lime_dye
200 lime_concrete_powder
201 lime_carpet
202 lime_bed_from_white_bed
203 lime_bed
204 lime_banner
